"","convicted","catholic","female","age","educ","foreignborn"
"506",1,1,0,34,16,0
"507",0,0,1,79,14,1
"508",1,0,0,60,10,0
"509",0,0,0,59,12,0
"510",1,0,0,59,12,0
"511",0,0,1,63,13,0
"512",0,0,0,49,12,1
"513",0,0,0,66,17,0
"514",0,0,0,42,19,1
"515",0,1,0,52,20,0
"516",0,0,0,42,20,1
"517",0,0,0,45,17,0
"518",0,0,1,37,18,0
"519",1,0,0,49,12,0
"520",1,0,0,31,11,0
"521",0,0,0,81,13,0
"522",0,0,0,30,20,1
"523",0,0,0,29,13,0
"524",0,0,0,58,14,0
"525",0,1,0,49,16,0
"526",0,0,1,42,14,0
"527",1,0,0,56,16,0
"528",0,1,1,40,18,0
"529",0,0,1,35,18,0
"530",0,1,1,36,18,0
"531",0,0,1,56,16,0
"532",0,1,0,37,20,0
"533",0,0,1,35,13,1
"534",0,1,0,24,15,1
"535",0,1,0,70,12,0
"536",1,0,0,28,11,0
"537",0,0,1,51,12,0
"538",0,0,1,30,14,0
"539",0,1,1,80,12,0
"540",0,1,1,46,16,0
"541",0,0,1,64,13,0
"542",0,0,1,50,20,0
"543",1,1,0,63,14,0
"544",0,1,0,66,14,1
"545",0,0,1,35,16,0
"546",0,1,0,72,12,1
"547",0,0,0,88,14,0
"548",0,0,0,19,9,0
"549",1,0,1,32,14,0
"550",0,0,1,33,12,0
"551",1,1,1,48,14,0
"552",1,0,1,67,14,0
"553",0,0,0,50,18,1
"554",0,0,0,28,16,0
"555",0,0,1,28,15,1
"556",1,0,0,49,15,0
"557",0,1,1,20,12,0
"558",0,0,0,51,14,0
"559",0,1,1,75,10,0
"560",0,1,1,65,13,0
"561",1,0,1,40,11,0
"562",1,0,1,32,14,0
"563",0,0,1,53,14,0
"564",0,0,0,51,13,0
"565",0,0,1,48,12,0
"566",0,0,0,42,12,0
"567",0,0,1,39,15,0
"568",1,0,1,27,11,1
"569",0,1,1,45,12,0
"570",1,0,0,42,15,0
"571",0,0,0,48,12,0
"572",0,0,1,69,15,0
"573",1,1,0,18,12,0
"574",0,0,0,37,12,0
"575",1,0,1,33,16,0
"576",0,1,1,49,12,0
"577",0,0,1,39,16,0
"578",0,0,1,44,8,1
"579",0,0,0,53,6,1
"580",0,0,0,25,12,0
"581",0,0,1,45,16,0
"582",0,1,0,24,12,0
"583",1,0,1,59,13,0
"584",1,0,1,27,14,0
"585",0,1,0,54,20,0
"586",0,0,1,26,12,0
"587",0,1,1,63,12,0
"588",1,0,1,27,13,0
"589",1,0,0,52,13,0
"590",0,0,1,50,12,1
"591",0,0,1,36,12,0
"592",0,1,0,38,12,0
"593",0,1,1,73,12,0
"594",1,0,0,51,17,0
"595",0,1,1,41,14,0
"596",0,0,0,36,16,1
"597",0,0,1,54,16,0
"598",0,0,1,39,18,0
"599",0,1,1,61,14,0
"600",0,0,0,21,12,0
"601",0,0,1,23,16,0
"602",0,1,1,63,12,0
"603",0,0,1,45,18,0
"604",0,1,0,36,9,1
"605",0,0,0,64,14,0
"606",0,1,1,69,12,0
"607",0,1,1,43,15,1
"608",0,1,1,57,16,1
"609",0,1,0,34,12,0
"610",1,0,0,30,12,1
"611",0,1,0,28,16,0
"612",0,1,0,23,14,1
"613",0,0,0,29,12,0
"614",0,0,1,54,19,0
"615",0,0,0,57,15,0
"616",0,0,1,67,13,0
"617",0,0,1,27,13,0
"618",0,0,1,43,17,0
"619",0,0,1,35,14,0
"620",0,0,1,30,16,0
"621",0,0,0,55,14,0
"622",0,0,1,53,14,0
"623",0,0,0,18,11,0
"624",0,0,0,40,20,0
"625",1,0,0,25,14,0
"626",0,0,1,54,20,0
"627",0,1,0,52,16,0
"628",0,0,1,25,12,0
"629",1,0,0,28,13,0
"630",0,0,0,89,16,0
"631",0,0,0,77,11,0
"632",0,0,1,24,13,0
"633",0,0,1,72,12,0
"634",0,0,0,84,14,0
"635",0,0,1,73,12,0
"636",0,1,0,57,13,0
"637",0,0,1,47,20,0
"638",1,1,1,49,15,0
"639",0,0,1,53,11,0
"640",0,1,0,65,14,0
"641",0,0,1,55,13,0
"642",0,0,0,57,16,0
"643",0,0,0,38,15,0
"644",0,1,1,49,12,0
"645",0,0,0,54,13,0
"646",0,0,0,21,12,0
"647",1,0,0,20,13,0
"648",0,0,1,76,12,0
"649",0,0,0,66,8,0
"650",0,0,1,43,12,0
"651",0,0,1,55,14,0
"652",0,0,1,28,20,1
"653",0,0,1,45,16,0
"654",0,0,0,81,8,0
"655",0,1,1,76,12,0
"656",0,0,1,45,13,0
"657",0,1,0,62,12,0
"658",0,1,0,62,12,0
"659",0,1,1,29,16,0
"660",0,0,0,31,18,1
"661",0,0,0,32,14,0
"662",0,0,0,41,14,0
"663",0,1,1,30,16,0
"664",0,0,1,64,16,0
"665",0,1,0,22,13,0
"666",0,1,1,22,11,0
"667",1,0,1,54,16,0
"668",0,0,1,76,12,1
"669",0,0,0,66,14,0
"670",0,0,0,64,16,0
"671",0,0,1,56,16,0
"672",0,0,1,19,11,0
"673",0,0,1,45,14,0
"674",0,0,1,47,17,0
"675",0,0,0,20,14,0
"676",0,0,0,44,13,0
"677",0,0,0,24,15,1
"678",0,0,1,49,16,1
"679",0,0,1,67,12,0
"680",0,0,0,48,12,0
"681",0,0,1,47,12,0
"682",0,0,1,75,15,0
"683",0,0,1,76,13,0
"684",0,0,1,51,11,0
"685",1,0,0,37,12,0
