crack,age,siblings,income,educ,workhours,minority,female,evermarried
0,38,5,15.925,13,40,0,0,1
0,54,4,18.375,13,40,0,0,1
0,65,4,18.375,13,40,0,0,1
0,35,1,22.05,13,40,0,0,1
0,37,1,22.05,13,40,0,0,1
0,51,1,40.425,13,40,0,0,1
0,62,1,40.425,13,40,0,0,1
0,39,1,40.425,13,40,0,1,1
0,45,2,40.425,13,40,0,1,1
0,40,4,40.425,13,40,0,1,1
0,55,6,40.425,13,40,0,1,1
0,52,3,49,13,40,0,0,1
0,43,3,49,13,40,0,1,1
0,56,1,155.1399731,13,40,0,0,1
0,42,3,6.7375,14,40,0,1,1
0,34,2,11.6375,14,40,0,0,1
0,51,0,15.925,14,40,0,1,1
0,31,1,18.375,14,40,0,1,1
0,69,2,18.375,14,40,0,1,1
0,36,4,18.375,14,40,0,1,1
0,41,5,18.375,14,40,0,0,1
0,52,2,22.05,14,40,0,1,1
0,57,3,22.05,14,40,0,1,1
0,55,6,22.05,14,40,0,0,1
0,40,3,26.95,14,40,0,0,1
0,39,5,26.95,14,40,0,1,1
0,63,5,26.95,14,40,0,1,1
0,42,1,33.075,14,40,0,1,1
0,56,4,40.425,14,40,0,0,1
0,54,1,49,14,40,0,0,1
0,28,2,49,14,40,0,0,1
0,51,4,49,14,40,0,0,1
0,51,5,49,14,40,0,0,1
0,52,2,18.375,15,40,0,1,1
0,46,5,18.375,15,40,0,0,1
0,69,3,22.05,15,40,0,0,1
0,75,1,33.075,15,40,0,1,1
0,36,6,18.375,16,40,0,0,1
0,50,6,18.375,16,40,0,0,1
0,44,2,22.05,16,40,0,0,1
0,62,2,33.075,16,40,0,0,1
0,51,3,33.075,16,40,0,0,1
0,56,3,33.075,16,40,0,1,1
0,45,4,33.075,16,40,0,1,1
0,33,1,40.425,16,40,0,0,1
0,26,1,40.425,16,40,0,1,1
0,54,5,40.425,16,40,0,1,1
0,41,0,49,16,40,0,1,1
0,57,1,49,16,40,0,0,1
0,43,1,49,16,40,0,1,1
0,31,2,49,16,40,0,0,1
0,55,2,49,16,40,0,1,1
