State,repubshift,female,obama12,romney,mccain,HSGrad,BGrad,Single,Poverty,UnEmpl,divorce,deathrate,over65,density,alcohol,smokers,college,asthma,margin,other,gsp,college,college_group,nonwhite,christian,drinkers,drink_group,smokers,region,south,west,midwest,population,math_scores,math_score_gender_diff,vegetables,physical_activity,obese,injury_death_rate,iq
North Dakota,5.02,50.32712632,38.7,58.32,53.3,83.9,22,15,10,3.3,3,748.3,15,9.3,5,14.8,25.2,7.7,-19.62,2.99,38319,31.1,3,7,36,5,2,20.1,MW,0,0,1,636308,286.96,0.85,21.8,27.5,25.4,51.11,103.8
Ohio,0.4,51.36106831,50.58,47.6,47.2,83,21.1,21.6,11,6,4,907.8,13.5,277.3,6.1,20.8,24.6,8.5,2.98,1.82,38461,30.5,2,14.9,49,4.8,2,22.3,MW,0,0,1,11450143,283.25,1.85,22.6,27.2,24.3,52.84,101.8
Oklahoma,1.17,50.6842372,33.23,66.77,65.6,80.6,20.3,20.4,12.7,4.5,3.5,976.2,14,50.3,3.6,19.8,22.9,8.2,-33.54,0,34243,23.9,1,28.1,71,3.1,1,25.1,S,1,0,0,3523546,271.36,0.38,15.7,22.5,26.8,77.2,99.3
Oregon,1.35,50.47955578,54.24,42.15,40.8,85.1,25.1,17.8,9.8,5.6,4.6,832.6,13.9,35.6,4.9,14.2,25.9,9.6,12.09,3.61,39625,31,3,16.8,63,11.6,3,18.5,W,0,1,0,3591363,282.24,2.71,25.9,30.7,23.8,58.61,101.2
Pennsylvania,2.28,51.75983437,51.96,46.58,44.3,81.9,22.4,20.2,9,4.7,3.1,863.5,15.6,274,5.8,17.4,25.3,8.8,5.38,1.46,39344,28.4,2,15.4,55,4.6,2,23.6,NE,0,0,0,12394471,280.71,4.06,23.9,27.4,25.3,56.5,101.5
Rhode Island,-0.06,51.84033178,62.7,35.24,35.3,78,25.6,24.4,9,5.5,3.2,813.3,14.8,1003.2,7.3,15.8,27.2,9.6,27.46,2.06,40687,34.5,3,16.5,81,5.4,2,19.8,NE,0,0,0,1079916,272.35,-0.35,26.8,29.9,21,43.02,99.5
South Carolina,0.76,51.54639175,44.09,54.56,53.8,76.3,20.4,25.9,10.6,6.6,3.4,949.5,12.4,133.2,5.6,17.9,24.9,7.6,-10.47,1.35,32906,27.2,1,33.3,49,4.9,2,22.5,S,1,0,0,4197892,281.23,0.92,21.2,24.6,29.1,69.95,98.4
South Dakota,4.69,50.35246727,39.87,57.89,53.2,84.6,21.5,16.6,7.5,3,3.3,771.7,14.2,9.9,3.7,14,25.5,6.6,-18.02,2.24,39848,29.8,2,8.3,56,4.3,1,19.8,MW,0,0,1,770621,287.3,0.13,20.5,23.5,25.5,69.43,102.8
Tennessee,2.52,51.41388175,39.04,59.42,56.9,75.9,19.6,23.2,11.8,5.3,5.1,985.3,12.5,138,2.8,21.5,24.3,8.9,-20.38,1.54,38440,25.6,1,20.3,50,3.4,1,26.7,S,1,0,0,5893298,270.52,-0.86,26.5,17.4,27.4,76.07,97.7
Texas,1.65,50.6842372,41.37,57.15,55.5,75.7,23.2,20.2,14.7,4.5,3.9,878.4,10.4,79.6,5.2,13.5,24.5,7.1,-15.78,1.48,43283,27.6,2,43.1,66,5.3,2,20,S,1,0,0,22471549,281.1,3.4,22.6,25.3,27,57.52,100
Utah,9.65,49.92511233,24.67,72.55,62.9,87.7,26.1,11.9,7.9,3.2,4.1,785.8,9.2,27.2,2.8,7.7,30.8,8,-47.88,2.79,36758,31,3,12.1,43,2.9,1,11.5,W,0,1,0,2420708,279.16,1.72,22.1,34.3,21.2,62.88,101.1
Vermont,0.37,50.76142132,66.57,30.97,30.6,86.4,29.4,17.5,5.5,4,4.2,774.2,11.8,65.8,6.3,14.9,34.2,8.5,35.6,2.46,37020,37,4,5.6,52,15.6,3,19.3,NE,0,0,0,621233,287.36,-0.02,30.8,33.1,20.2,56.34,103.8
Virginia,0.88,51.17707267,51.16,47.28,46.4,81.5,29.5,20.4,7.2,3.5,4.2,855.6,11.3,178.8,4.6,15.8,33.1,7.3,3.88,1.56,46502,39.1,4,22.9,68,4.7,2,20.6,S,1,0,0,7481332,284.37,2.16,26.2,30.4,25.1,52.71,101.9
Washington,0.33,50.42864347,55.8,41.03,40.7,87.1,27.7,17.7,6,4.8,4.6,784.4,11.7,88.6,4.8,13.9,29.9,4.6,14.77,3.18,42512,35.1,4,18.1,65,5.1,2,17.6,W,0,1,0,6207046,285.05,-0.21,25.2,30.6,23.3,55.66,101.9
West Virginia,6.57,51.20327701,35.53,62.27,55.7,75.2,14.8,18.7,13.3,4.9,5.2,991.7,15.6,75.1,2.8,21.8,15.3,9.1,-26.74,2.2,29199,20.2,1,7.7,50,3.1,1,26.7,S,1,0,0,1812548,269.1,-1.29,20,17.6,30.6,80.73,98.7
Wisconsin,3.49,50.55611729,52.83,45.89,42.4,85.1,22.4,17.7,7.4,5,3.2,799.3,13.2,98.8,7.4,16.5,25.6,10.1,6.94,1.29,39074,29.8,2,9.1,52,19.6,3,20.7,MW,0,0,1,5503533,284.54,0.21,22.2,32.8,24.4,54.77,102.9
Wyoming,3.44,49.9001996,27.82,68.64,65.2,87.9,21.9,16.5,7.4,3.1,5.4,868,11.8,5.1,4.4,16.4,22.5,8.5,-40.82,3.54,53543,29.6,2,9.6,62,4.4,1,21.3,W,0,1,0,505887,282.1,1.56,21.8,33.1,24.2,69.79,102.4
